instance,obj,initial,bestroot,imp,mean,time
data/instances/valid_4950_2975/instance_1.lp,860.1145659498794,841.4645589802104,841.4645589802104,18.650006969668993,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_2.lp,864.4041993314793,834.6415478166341,834.6415478166341,29.762651514845174,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_3.lp,856.7831092912213,830.2276724854629,830.2276724854629,26.555436805758404,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_4.lp,879.675844570616,860.2139799787275,860.2139799787275,19.46186459188857,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_5.lp,878.4557689682939,852.4862658469981,852.4862658469981,25.969503121295816,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_6.lp,875.9134965780372,860.9524969939146,860.9524969939146,14.960999584122646,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_7.lp,875.7041311916022,853.2563643724495,853.2563643724495,22.447766819152662,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_8.lp,872.2490114441356,840.1668662424286,840.1668662424286,32.08214520170702,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_9.lp,842.6978942960743,813.7435267624217,813.7435267624217,28.954367533652658,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_10.lp,860.1844625137329,838.1068509575747,838.1068509575747,22.077611556158217,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_11.lp,857.8930486563489,830.0031261864114,830.0031261864114,27.889922469937574,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_12.lp,858.2601212005911,829.3771039262076,829.3771039262076,28.88301727438352,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_13.lp,874.6761045200385,850.1941757144688,850.1941757144688,24.481928805569737,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_14.lp,865.8383386494985,832.4613297217159,832.4613297217159,33.37700892778264,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_15.lp,868.8798198372814,840.4306105384958,840.4306105384958,28.449209298785604,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_16.lp,857.4956265787902,831.5337893538474,831.5337893538474,25.96183722494277,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_17.lp,860.4573132083977,849.6280447586246,849.6280447586246,10.829268449773167,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_18.lp,840.2761695251568,819.7917354033275,819.7917354033275,20.48443412182928,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_19.lp,864.5761262810445,839.5351192714475,839.5351192714475,25.041007009597024,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_20.lp,858.5455675893757,824.6841693652058,824.6841693652058,33.861398224169875,863.6540360090797,630.2122857570648
data/instances/valid_4950_2975/instance_1.lp,867.6334120490909,841.4645589802104,841.4645589802104,26.16885306888048,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_2.lp,858.1834552333804,834.6415478166341,834.6415478166341,23.541907416746312,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_3.lp,855.1886699937081,830.2276724854629,830.2276724854629,24.960997508245214,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_4.lp,879.3658438930235,860.2139799787275,860.2139799787275,19.151863914295973,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_5.lp,879.0865628036988,852.4862658469981,852.4862658469981,26.60029695670073,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_6.lp,878.6699055284648,860.9524969939146,860.9524969939146,17.71740853455026,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_7.lp,876.2473818712617,853.2563643724495,853.2563643724495,22.991017498812198,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_8.lp,866.9306581475751,840.1668662424286,840.1668662424286,26.76379190514649,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_9.lp,836.4444222070341,813.7435267624217,813.7435267624217,22.700895444612456,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_10.lp,864.5324863957878,838.1068509575747,838.1068509575747,26.425635438213135,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_11.lp,862.4189725942061,830.0031261864114,830.0031261864114,32.41584640779479,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_12.lp,859.5192539529558,829.3771039262076,829.3771039262076,30.14215002674814,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_13.lp,870.6603515762423,850.1941757144688,850.1941757144688,20.466175861773536,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_14.lp,861.8011239336546,832.4613297217159,832.4613297217159,29.339794211938738,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_15.lp,865.3589022993732,840.4306105384958,840.4306105384958,24.928291760877414,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_16.lp,857.0324397143359,831.5337893538474,831.5337893538474,25.498650360488455,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_17.lp,868.2192588517302,849.6280447586246,849.6280447586246,18.591214093105577,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_18.lp,841.7276260288976,819.7917354033275,819.7917354033275,21.935890625570096,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_19.lp,869.7897285002252,839.5351192714475,839.5351192714475,30.25460922877778,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_20.lp,863.0864176015131,824.6841693652058,824.6841693652058,38.40224823630729,864.094843658808,637.9405789375305
data/instances/valid_4950_2975/instance_1.lp,866.7479626538245,841.4645589802104,841.4645589802104,25.28340367361409,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_2.lp,860.9747939483539,834.6415478166341,834.6415478166341,26.33324613171976,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_3.lp,861.0307995365591,830.2276724854629,830.2276724854629,30.803127051096226,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_4.lp,882.9097310682558,860.2139799787275,860.2139799787275,22.695751089528358,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_5.lp,883.6122716520383,852.4862658469981,852.4862658469981,31.126005805040222,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_6.lp,881.2517581732707,860.9524969939146,860.9524969939146,20.299261179356108,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_7.lp,876.5733842012288,853.2563643724495,853.2563643724495,23.31701982877928,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_8.lp,864.6718172418134,840.1668662424286,840.1668662424286,24.504950999384846,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_9.lp,837.1674228847136,813.7435267624217,813.7435267624217,23.42389612229192,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_10.lp,864.5404969737306,838.1068509575747,838.1068509575747,26.433646016155876,864.9591558186627,647.2435975074768
data/instances/valid_4950_2975/instance_11.lp,860.3493312107428,830.0031261864114,830.0031261864114,30.346205024331425,864.9591558186627,647.2435975074768
