instance,obj,initial,bestroot,imp,mean
data/instances/setcover/validation5000/instance_1.lp,625.0,2828.0000000000014,2828.0000000000014,2203.0000000000014,550.3
data/instances/setcover/validation5000/instance_2.lp,575.0,2785.9999999999995,2785.9999999999995,2210.9999999999995,550.3
data/instances/setcover/validation5000/instance_3.lp,593.0,2792.0,2792.0,2199.0,550.3
data/instances/setcover/validation5000/instance_4.lp,599.0,2437.0000000000005,2437.0000000000005,1838.0000000000005,550.3
data/instances/setcover/validation5000/instance_5.lp,511.99999999999955,2244.0,2244.0,1732.0000000000005,550.3
data/instances/setcover/validation5000/instance_6.lp,539.0,2468.0000000000014,2468.0000000000014,1929.0000000000014,550.3
data/instances/setcover/validation5000/instance_7.lp,533.0,2617.999999999999,2617.999999999999,2084.999999999999,550.3
data/instances/setcover/validation5000/instance_8.lp,529.0,2267.0000000000005,2267.0000000000005,1738.0000000000005,550.3
data/instances/setcover/validation5000/instance_9.lp,475.99999999999966,1985.9999999999989,1985.9999999999989,1509.999999999999,550.3
data/instances/setcover/validation5000/instance_10.lp,521.9999999999998,2148.0000000000005,2148.0000000000005,1626.0000000000007,550.3
data/instances/setcover/validation5000/instance_1.lp,626.0,2828.0000000000014,2828.0000000000014,2202.0000000000014,551.0
data/instances/setcover/validation5000/instance_2.lp,576.0,2785.9999999999995,2785.9999999999995,2209.9999999999995,551.0
data/instances/setcover/validation5000/instance_3.lp,591.0,2792.0,2792.0,2201.0,551.0
data/instances/setcover/validation5000/instance_4.lp,596.0,2437.0000000000005,2437.0000000000005,1841.0000000000005,551.0
data/instances/setcover/validation5000/instance_5.lp,511.9999999999998,2244.0,2244.0,1732.0000000000002,551.0
data/instances/setcover/validation5000/instance_6.lp,541.0,2468.0000000000014,2468.0000000000014,1927.0000000000014,551.0
data/instances/setcover/validation5000/instance_7.lp,538.0,2617.999999999999,2617.999999999999,2079.999999999999,551.0
data/instances/setcover/validation5000/instance_8.lp,524.9999999999999,2267.0000000000005,2267.0000000000005,1742.0000000000005,551.0
data/instances/setcover/validation5000/instance_9.lp,482.0,1985.9999999999989,1985.9999999999989,1503.9999999999989,551.0
data/instances/setcover/validation5000/instance_10.lp,523.0,2148.0000000000005,2148.0000000000005,1625.0000000000005,551.0
data/instances/setcover/validation5000/instance_1.lp,633.9999999999998,2828.0000000000014,2828.0000000000014,2194.000000000002,549.8
data/instances/setcover/validation5000/instance_2.lp,576.0,2785.9999999999995,2785.9999999999995,2209.9999999999995,549.8
data/instances/setcover/validation5000/instance_3.lp,583.0,2792.0,2792.0,2209.0,549.8
data/instances/setcover/validation5000/instance_4.lp,599.0,2437.0000000000005,2437.0000000000005,1838.0000000000005,549.8
data/instances/setcover/validation5000/instance_5.lp,507.0,2244.0,2244.0,1737.0,549.8
data/instances/setcover/validation5000/instance_6.lp,544.9999999999995,2468.0000000000014,2468.0000000000014,1923.0000000000018,549.8
data/instances/setcover/validation5000/instance_7.lp,528.0,2617.999999999999,2617.999999999999,2089.999999999999,549.8
data/instances/setcover/validation5000/instance_8.lp,529.0,2267.0000000000005,2267.0000000000005,1738.0000000000005,549.8
data/instances/setcover/validation5000/instance_9.lp,475.9999999999999,1985.9999999999989,1985.9999999999989,1509.999999999999,549.8
data/instances/setcover/validation5000/instance_10.lp,521.0,2148.0000000000005,2148.0000000000005,1627.0000000000005,549.8
