instance,obj,initial,bestroot,imp,mean
data/instances/setcover/validation5000/instance_1.lp,653.0,2828.0000000000014,2828.0000000000014,2175.0000000000014,551.9
data/instances/setcover/validation5000/instance_2.lp,577.0,2785.9999999999995,2785.9999999999995,2208.9999999999995,551.9
data/instances/setcover/validation5000/instance_3.lp,583.0,2792.0,2792.0,2209.0,551.9
data/instances/setcover/validation5000/instance_4.lp,597.0,2437.0000000000005,2437.0000000000005,1840.0000000000005,551.9
data/instances/setcover/validation5000/instance_5.lp,509.0,2244.0,2244.0,1735.0,551.9
data/instances/setcover/validation5000/instance_6.lp,548.0,2468.0000000000014,2468.0000000000014,1920.0000000000014,551.9
data/instances/setcover/validation5000/instance_7.lp,533.0,2617.999999999999,2617.999999999999,2084.999999999999,551.9
data/instances/setcover/validation5000/instance_8.lp,527.9999999999998,2267.0000000000005,2267.0000000000005,1739.0000000000007,551.9
data/instances/setcover/validation5000/instance_9.lp,471.99999999999955,1985.9999999999989,1985.9999999999989,1513.9999999999993,551.9
data/instances/setcover/validation5000/instance_10.lp,519.0,2148.0000000000005,2148.0000000000005,1629.0000000000005,551.9
data/instances/setcover/validation5000/instance_1.lp,636.0,2828.0000000000014,2828.0000000000014,2192.0000000000014,548.9
data/instances/setcover/validation5000/instance_2.lp,589.0,2785.9999999999995,2785.9999999999995,2196.9999999999995,548.9
data/instances/setcover/validation5000/instance_3.lp,574.0,2792.0,2792.0,2218.0,548.9
data/instances/setcover/validation5000/instance_4.lp,602.0,2437.0000000000005,2437.0000000000005,1835.0000000000005,548.9
data/instances/setcover/validation5000/instance_5.lp,519.0,2244.0,2244.0,1725.0,548.9
data/instances/setcover/validation5000/instance_6.lp,532.0,2468.0000000000014,2468.0000000000014,1936.0000000000014,548.9
data/instances/setcover/validation5000/instance_7.lp,525.0,2617.999999999999,2617.999999999999,2092.999999999999,548.9
data/instances/setcover/validation5000/instance_8.lp,523.0,2267.0000000000005,2267.0000000000005,1744.0000000000005,548.9
data/instances/setcover/validation5000/instance_9.lp,464.0,1985.9999999999989,1985.9999999999989,1521.9999999999989,548.9
data/instances/setcover/validation5000/instance_10.lp,525.0,2148.0000000000005,2148.0000000000005,1623.0000000000005,548.9
data/instances/setcover/validation5000/instance_1.lp,629.0,2828.0000000000014,2828.0000000000014,2199.0000000000014,547.9
data/instances/setcover/validation5000/instance_2.lp,573.0,2785.9999999999995,2785.9999999999995,2212.9999999999995,547.9
data/instances/setcover/validation5000/instance_3.lp,573.0,2792.0,2792.0,2219.0,547.9
data/instances/setcover/validation5000/instance_4.lp,595.0,2437.0000000000005,2437.0000000000005,1842.0000000000005,547.9
data/instances/setcover/validation5000/instance_5.lp,506.99999999999955,2244.0,2244.0,1737.0000000000005,547.9
data/instances/setcover/validation5000/instance_6.lp,537.0,2468.0000000000014,2468.0000000000014,1931.0000000000014,547.9
data/instances/setcover/validation5000/instance_7.lp,536.0,2617.999999999999,2617.999999999999,2081.999999999999,547.9
data/instances/setcover/validation5000/instance_8.lp,530.0,2267.0000000000005,2267.0000000000005,1737.0000000000005,547.9
data/instances/setcover/validation5000/instance_9.lp,473.9999999999999,1985.9999999999989,1985.9999999999989,1511.999999999999,547.9
data/instances/setcover/validation5000/instance_10.lp,525.0,2148.0000000000005,2148.0000000000005,1623.0000000000005,547.9
data/instances/setcover/validation5000/instance_1.lp,647.0,2828.0000000000014,2828.0000000000014,2181.0000000000014,550.7
data/instances/setcover/validation5000/instance_2.lp,581.0,2785.9999999999995,2785.9999999999995,2204.9999999999995,550.7
data/instances/setcover/validation5000/instance_3.lp,578.0,2792.0,2792.0,2214.0,550.7
data/instances/setcover/validation5000/instance_4.lp,600.0,2437.0000000000005,2437.0000000000005,1837.0000000000005,550.7
data/instances/setcover/validation5000/instance_5.lp,518.0,2244.0,2244.0,1726.0,550.7
data/instances/setcover/validation5000/instance_6.lp,541.0,2468.0000000000014,2468.0000000000014,1927.0000000000014,550.7
data/instances/setcover/validation5000/instance_7.lp,520.0,2617.999999999999,2617.999999999999,2097.999999999999,550.7
data/instances/setcover/validation5000/instance_8.lp,536.0,2267.0000000000005,2267.0000000000005,1731.0000000000005,550.7
data/instances/setcover/validation5000/instance_9.lp,471.0,1985.9999999999989,1985.9999999999989,1514.9999999999989,550.7
data/instances/setcover/validation5000/instance_10.lp,515.0,2148.0000000000005,2148.0000000000005,1633.0000000000005,550.7
