instance,obj,initial,bestroot,imp,mean
data/instances/setcover/validation5000/instance_1.lp,665.0,2828.0000000000014,2828.0000000000014,2163.0000000000014,577.9
data/instances/setcover/validation5000/instance_2.lp,598.0,2785.9999999999995,2785.9999999999995,2187.9999999999995,577.9
data/instances/setcover/validation5000/instance_3.lp,618.0,2792.0,2792.0,2174.0,577.9
data/instances/setcover/validation5000/instance_4.lp,637.0,2437.0000000000005,2437.0000000000005,1800.0000000000005,577.9
data/instances/setcover/validation5000/instance_5.lp,526.0,2244.0,2244.0,1718.0,577.9
data/instances/setcover/validation5000/instance_6.lp,562.0,2468.0000000000014,2468.0000000000014,1906.0000000000014,577.9
data/instances/setcover/validation5000/instance_7.lp,544.0,2617.999999999999,2617.999999999999,2073.999999999999,577.9
data/instances/setcover/validation5000/instance_8.lp,565.0,2267.0000000000005,2267.0000000000005,1702.0000000000005,577.9
data/instances/setcover/validation5000/instance_9.lp,505.0,1985.9999999999989,1985.9999999999989,1480.9999999999989,577.9
data/instances/setcover/validation5000/instance_10.lp,559.0,2148.0000000000005,2148.0000000000005,1589.0000000000005,577.9
data/instances/setcover/validation5000/instance_1.lp,682.0,2828.0000000000014,2828.0000000000014,2146.0000000000014,581.6
data/instances/setcover/validation5000/instance_2.lp,622.0,2785.9999999999995,2785.9999999999995,2163.9999999999995,581.6
data/instances/setcover/validation5000/instance_3.lp,611.0,2792.0,2792.0,2181.0,581.6
data/instances/setcover/validation5000/instance_4.lp,650.0,2437.0000000000005,2437.0000000000005,1787.0000000000005,581.6
data/instances/setcover/validation5000/instance_5.lp,522.0,2244.0,2244.0,1722.0,581.6
data/instances/setcover/validation5000/instance_6.lp,589.0,2468.0000000000014,2468.0000000000014,1879.0000000000014,581.6
data/instances/setcover/validation5000/instance_7.lp,545.0,2617.999999999999,2617.999999999999,2072.999999999999,581.6
data/instances/setcover/validation5000/instance_8.lp,555.0,2267.0000000000005,2267.0000000000005,1712.0000000000005,581.6
data/instances/setcover/validation5000/instance_9.lp,496.0,1985.9999999999989,1985.9999999999989,1489.9999999999989,581.6
data/instances/setcover/validation5000/instance_10.lp,544.0,2148.0000000000005,2148.0000000000005,1604.0000000000005,581.6
data/instances/setcover/validation5000/instance_1.lp,636.0,2828.0000000000014,2828.0000000000014,2192.0000000000014,565.9
data/instances/setcover/validation5000/instance_2.lp,588.0,2785.9999999999995,2785.9999999999995,2197.9999999999995,565.9
data/instances/setcover/validation5000/instance_3.lp,595.0,2792.0,2792.0,2197.0,565.9
data/instances/setcover/validation5000/instance_4.lp,641.0,2437.0000000000005,2437.0000000000005,1796.0000000000005,565.9
data/instances/setcover/validation5000/instance_5.lp,531.0,2244.0,2244.0,1713.0,565.9
data/instances/setcover/validation5000/instance_6.lp,564.0,2468.0000000000014,2468.0000000000014,1904.0000000000014,565.9
data/instances/setcover/validation5000/instance_7.lp,548.0,2617.999999999999,2617.999999999999,2069.999999999999,565.9
data/instances/setcover/validation5000/instance_8.lp,538.0,2267.0000000000005,2267.0000000000005,1729.0000000000005,565.9
data/instances/setcover/validation5000/instance_9.lp,487.0,1985.9999999999989,1985.9999999999989,1498.9999999999989,565.9
data/instances/setcover/validation5000/instance_10.lp,530.9999999999999,2148.0000000000005,2148.0000000000005,1617.0000000000005,565.9
data/instances/setcover/validation5000/instance_1.lp,652.0,2828.0000000000014,2828.0000000000014,2176.0000000000014,567.7
data/instances/setcover/validation5000/instance_2.lp,602.0,2785.9999999999995,2785.9999999999995,2183.9999999999995,567.7
data/instances/setcover/validation5000/instance_3.lp,630.0,2792.0,2792.0,2162.0,567.7
data/instances/setcover/validation5000/instance_4.lp,595.0,2437.0000000000005,2437.0000000000005,1842.0000000000005,567.7
data/instances/setcover/validation5000/instance_5.lp,545.0,2244.0,2244.0,1699.0,567.7
data/instances/setcover/validation5000/instance_6.lp,568.0,2468.0000000000014,2468.0000000000014,1900.0000000000014,567.7
data/instances/setcover/validation5000/instance_7.lp,530.0,2617.999999999999,2617.999999999999,2087.999999999999,567.7
data/instances/setcover/validation5000/instance_8.lp,536.0,2267.0000000000005,2267.0000000000005,1731.0000000000005,567.7
data/instances/setcover/validation5000/instance_9.lp,479.0,1985.9999999999989,1985.9999999999989,1506.9999999999989,567.7
data/instances/setcover/validation5000/instance_10.lp,540.0,2148.0000000000005,2148.0000000000005,1608.0000000000005,567.7
